company,resolved_ats,tier,slug,status,total_postings
Databricks,greenhouse,1,databricks,ok,892
Confluent,ashby,2,confluent,ok,21
MongoDB,greenhouse,1,mongodb,ok,408
Elastic,greenhouse,1,elastic,ok,359
HashiCorp,,,hashicorp,unresolved,0
Snowflake,ashby,2,snowflake,ok,363
Cloudflare,greenhouse,1,cloudflare,ok,354
Datadog,greenhouse,1,datadog,ok,445
GitLab,greenhouse,1,gitlab,ok,222
Atlassian,,,atlassian,unresolved,0
Twilio,greenhouse,1,twilio,ok,147
Stripe,greenhouse,1,stripe,ok,634
Rubrik,greenhouse,1,rubrik,ok,138
Nutanix,,,nutanix,unresolved,0
Glean,greenhouse,1,gleanwork,ok,118
Weights & Biases,,,weightsandbiases|wandb,unresolved,0
LangChain,ashby,2,langchain,ok,109
Vercel,greenhouse,1,vercel,ok,87
Temporal,ashby,2,temporal,ok,71
Airbyte,ashby,2,airbyte,ok,13
Freshworks,smartrecruiters,2,freshworks,ok,100
Postman,greenhouse,1,postman,ok,66
Razorpay,,,razorpay,unresolved,0
Zeta,lever,1,zeta,ok,19
CRED,lever,1,cred,ok,11
Meesho,lever,1,meesho,ok,50
Swiggy,smartrecruiters,2,swiggy,ok,86
Groww,greenhouse,1,groww,ok,8
PhonePe,,,phonepe,unresolved,0
Sprinklr,,,sprinklr,unresolved,0
Chargebee,,,chargebee,unresolved,0
Hasura,,,hasura,unresolved,0
Harness,,,harness,unresolved,0
BrowserStack,,,browserstack,unresolved,0
Innovaccer,,,innovaccer,unresolved,0
Uniphore,,,uniphore,unresolved,0
Observe.AI,greenhouse,1,observeai,ok,18
Yellow.ai,,,yellowai|yellowmessenger,unresolved,0
Gupshup,,,gupshup,unresolved,0
Sarvam AI,ashby,2,sarvam,ok,63
Fractal Analytics,,,fractalanalytics|fractal,unresolved,0
Quantiphi,,,quantiphi,unresolved,0
Netradyne,greenhouse,1,netradyne,ok,29
Druva,greenhouse,1,druva,ok,41
Icertis,,,icertis,unresolved,0
MoEngage,,,moengage,unresolved,0
Whatfix,smartrecruiters,2,whatfix,ok,1
Darwinbox,,,darwinbox,unresolved,0
Zepto,,,zepto|kiranakart,unresolved,0
slice,greenhouse,1,slice,ok,25
